tick,edge_id,mode,flow
0,1,car,0.0
0,1,ped,24.8527
0,1,transit,0.0
0,2,car,100.6341
0,2,ped,0.0
0,2,transit,0.0
0,3,car,0.0
0,3,ped,50.6382
0,3,transit,0.0
0,4,car,42.2208
0,4,ped,0.0
0,4,transit,0.0
0,5,car,0.0
0,5,ped,34.3994
0,5,transit,0.0
0,6,car,0.0
0,6,ped,0.0
0,6,transit,0.0
0,7,car,27.4855
0,7,ped,44.9708
0,7,transit,0.0
0,8,car,0.0
0,8,ped,83.3827
0,8,transit,67.6113
0,9,car,61.718
0,9,ped,25.2456
0,9,transit,72.0815
0,10,car,173.8404
0,10,ped,0.0
0,10,transit,16.5045
0,11,car,27.4855
0,11,ped,0.0
0,11,transit,50.8414
0,12,car,31.4064
0,12,ped,11.8533
0,12,transit,0.0
0,13,car,27.4855
0,13,ped,0.0
0,13,transit,46.1001
0,14,car,244.1985
0,14,ped,122.5873
0,14,transit,0.0
0,15,car,121.456
0,15,ped,51.5076
0,15,transit,55.1247
0,16,car,0.0
0,16,ped,0.0
0,16,transit,40.6677
0,17,car,27.4855
0,17,ped,12.9025
0,17,transit,0.0
0,18,car,25.4088
0,18,ped,0.0
0,18,transit,0.0
0,19,car,27.4855
0,19,ped,0.0
0,19,transit,0.0
0,20,car,0.0
0,20,ped,0.0
0,20,transit,0.0
0,21,car,90.5806
0,21,ped,19.1385
0,21,transit,0.0
0,22,car,101.8054
0,22,ped,53.7843
0,22,transit,0.0
0,23,car,27.4855
0,23,ped,87.8114
0,23,transit,0.0
0,24,car,193.4306
0,24,ped,0.0
0,24,transit,0.0
0,25,car,115.9717
0,25,ped,134.0201
0,25,transit,0.0
0,26,car,193.4306
0,26,ped,0.0
0,26,transit,0.0
0,27,car,328.7916
0,27,ped,0.0
0,27,transit,0.0
0,28,car,74.8058
0,28,ped,0.0
0,28,transit,0.0
0,29,car,124.8138
0,29,ped,0.0
0,29,transit,0.0
0,30,car,115.3697
0,30,ped,48.0053
0,30,transit,0.0
0,31,car,98.7962
0,31,ped,0.0
0,31,transit,0.0
0,32,car,188.16
0,32,ped,0.0
0,32,transit,0.0
0,33,car,0.0
0,33,ped,89.6262
0,33,transit,0.0
0,34,car,268.0247
0,34,ped,14.339
0,34,transit,0.0
0,35,car,205.7834
0,35,ped,68.7568
0,35,transit,0.0
0,36,car,0.0
0,36,ped,36.9496
0,36,transit,0.0
0,37,car,156.4577
0,37,ped,0.0
0,37,transit,0.0
0,38,car,0.0
0,38,ped,0.0
0,38,transit,34.6183
0,39,car,143.8838
0,39,ped,21.9187
0,39,transit,25.8508
0,40,car,56.9887
0,40,ped,0.0
0,40,transit,0.0
0,41,car,42.2208
0,41,ped,0.0
0,41,transit,0.0
0,42,car,143.2217
0,42,ped,0.0
0,42,transit,0.0
0,43,car,64.2836
0,43,ped,0.0
0,43,transit,0.0
0,44,car,240.9805
0,44,ped,0.0
0,44,transit,0.0
0,45,car,66.1877
0,45,ped,147.4832
0,45,transit,84.2623
0,46,car,332.1173
0,46,ped,0.0
0,46,transit,0.0
0,47,car,156.7087
0,47,ped,544.0371
0,47,transit,0.0
0,48,car,521.8388
0,48,ped,578.595
0,48,transit,0.0
0,49,car,365.9657
0,49,ped,692.716
0,49,transit,0.0
0,50,car,680.0546
0,50,ped,139.9138
0,50,transit,0.0
0,51,car,518.766
0,51,ped,6.7033
0,51,transit,0.0
0,52,car,0.0
0,52,ped,0.0
0,52,transit,37.9864
0,53,car,528.2067
0,53,ped,0.0
0,53,transit,0.0
0,54,car,649.0
0,54,ped,0.0
0,54,transit,0.0
0,55,car,0.0
0,55,ped,64.4419
0,55,transit,0.0
0,56,car,63.3064
0,56,ped,40.0933
0,56,transit,0.0
0,57,car,33.4751
0,57,ped,1.9695
0,57,transit,0.0
0,58,car,175.3627
0,58,ped,82.0756
0,58,transit,0.0
0,59,car,1151.8849
0,59,ped,0.0
0,59,transit,0.0
0,60,car,940.8166
0,60,ped,0.0
0,60,transit,0.0
0,61,car,0.0
0,61,ped,379.1282
0,61,transit,0.0
0,62,car,693.8542
0,62,ped,221.4735
0,62,transit,0.0
0,63,car,99.3453
0,63,ped,0.0
0,63,transit,0.0
0,64,car,752.0399
0,64,ped,215.1943
0,64,transit,0.0
0,65,car,366.9125
0,65,ped,5.5747
0,65,transit,0.0
0,66,car,543.1591
0,66,ped,113.4274
0,66,transit,0.0
0,67,car,569.5144
0,67,ped,0.0
0,67,transit,0.0
0,68,car,152.8977
0,68,ped,64.8085
0,68,transit,0.0
0,69,car,288.0245
0,69,ped,0.0
0,69,transit,0.0
0,70,car,389.7802
0,70,ped,0.0
0,70,transit,0.0
0,71,car,160.3118
0,71,ped,0.0
0,71,transit,0.0
0,72,car,0.0
0,72,ped,0.0
0,72,transit,0.0
0,73,car,231.5315
0,73,ped,65.7796
0,73,transit,0.0
0,74,car,410.3616
0,74,ped,0.0
0,74,transit,0.0
0,75,car,114.0384
0,75,ped,0.0
0,75,transit,81.2553
0,76,car,279.0016
0,76,ped,0.0
0,76,transit,0.0
0,77,car,326.6452
0,77,ped,1.5786
0,77,transit,81.8868
0,78,car,0.0
0,78,ped,0.0
0,78,transit,0.0
0,79,car,356.5109
0,79,ped,26.9625
0,79,transit,92.0403
0,80,car,473.256
0,80,ped,213.1072
0,80,transit,0.0
0,81,car,378.7373
0,81,ped,377.7704
0,81,transit,0.0
0,82,car,284.219
0,82,ped,0.0
0,82,transit,0.0
0,83,car,335.1472
0,83,ped,0.0
0,83,transit,0.0
0,84,car,387.1376
0,84,ped,720.4469
0,84,transit,0.0
0,85,car,0.0
0,85,ped,718.8796
0,85,transit,22.3048
0,86,car,360.2565
0,86,ped,0.0
0,86,transit,31.3506
0,87,car,202.0763
0,87,ped,0.0
0,87,transit,0.0
0,88,car,201.3125
0,88,ped,0.0
0,88,transit,0.0
0,89,car,886.0621
0,89,ped,0.0
0,89,transit,0.0
0,90,car,989.7405
0,90,ped,0.0
0,90,transit,0.0
0,91,car,134.2077
0,91,ped,0.0
0,91,transit,0.0
0,92,car,827.1783
0,92,ped,0.0
0,92,transit,0.0
0,93,car,1530.5767
0,93,ped,513.3931
0,93,transit,0.0
0,94,car,347.2599
0,94,ped,464.9538
0,94,transit,0.0
0,95,car,96.8828
0,95,ped,0.0
0,95,transit,0.0
0,96,car,283.2556
0,96,ped,101.2908
0,96,transit,0.0
0,97,car,103.583
0,97,ped,0.0
0,97,transit,0.0
0,98,car,223.0469
0,98,ped,28.7713
0,98,transit,0.0
0,99,car,529.297
0,99,ped,0.0
0,99,transit,0.0
0,100,car,139.6871
0,100,ped,45.9912
0,100,transit,0.0
0,101,car,125.4313
0,101,ped,33.8778
0,101,transit,0.0
0,102,car,603.7916
0,102,ped,74.186
0,102,transit,0.0
0,103,car,389.0897
0,103,ped,0.0
0,103,transit,0.0
0,104,car,27.4855
0,104,ped,0.0
0,104,transit,0.0
0,105,car,256.5384
0,105,ped,0.0
0,105,transit,0.0
0,106,car,0.0
0,106,ped,14.4134
0,106,transit,0.0
0,107,car,143.7327
0,107,ped,135.9116
0,107,transit,0.0
0,108,car,31.2567
0,108,ped,191.7441
0,108,transit,0.0
0,109,car,708.0067
0,109,ped,0.0
0,109,transit,0.0
0,110,car,1091.57
0,110,ped,280.8839
0,110,transit,0.0
0,111,car,197.2637
0,111,ped,261.283
0,111,transit,0.0
0,112,car,50.1605
0,112,ped,0.0
0,112,transit,0.0
0,113,car,148.6521
0,113,ped,280.5755
0,113,transit,0.0
0,114,car,0.0
0,114,ped,0.0
0,114,transit,0.0
0,115,car,166.934
0,115,ped,323.5024
0,115,transit,0.0
0,116,car,619.9042
0,116,ped,0.0
0,116,transit,0.0
0,117,car,832.7231
0,117,ped,0.0
0,117,transit,0.0
0,118,car,332.537
0,118,ped,0.0
0,118,transit,0.0
0,119,car,226.9111
0,119,ped,688.5015
0,119,transit,0.0
0,120,car,26.6429
0,120,ped,0.0
0,120,transit,0.0
0,121,car,219.5849
0,121,ped,31.8229
0,121,transit,0.0
0,122,car,167.0309
0,122,ped,55.9407
0,122,transit,0.0
0,123,car,145.9798
0,123,ped,62.0466
0,123,transit,0.0
0,124,car,132.5536
0,124,ped,0.0
0,124,transit,0.0
0,125,car,26.6429
0,125,ped,36.9062
0,125,transit,0.0
0,126,car,1193.6968
0,126,ped,531.1317
0,126,transit,0.0
0,127,car,1169.5279
0,127,ped,481.9581
0,127,transit,0.0
0,128,car,41.1933
0,128,ped,0.0
0,128,transit,0.0
0,129,car,831.1883
0,129,ped,0.0
0,129,transit,0.0
0,130,car,796.6661
0,130,ped,0.0
0,130,transit,0.0
0,131,car,68.507
0,131,ped,10.6029
0,131,transit,0.0
0,132,car,136.7289
0,132,ped,0.0
0,132,transit,0.0
