tick,car_congestion,ped_congestion,transit_congestion,energy_usage
0,374.9506,155.5856,2.2013,3197574.6862
1,390.2524,145.4643,2.8891,3187287.433
2,381.5737,151.367,2.6675,3193059.3234
3,388.7896,153.4594,2.5871,3201528.0215
