tick,edge_id,mode,flow
0,1,ped,19.0857
0,2,car,160.7592
0,3,car,119.9034
0,4,car,237.1833
0,4,ped,26.6775
0,5,car,184.0147
0,6,ped,25.3442
0,7,car,155.8926
0,8,ped,57.7307
0,9,car,206.4632
0,9,transit,33.735
0,10,car,308.6383
0,10,transit,50.115
0,11,car,33.174
0,11,ped,23.8906
0,11,transit,26.2057
0,13,transit,24.799
0,14,car,144.3919
0,14,transit,11.7609
0,15,car,86.5926
0,15,ped,22.2305
0,15,transit,45.4522
0,16,transit,34.8723
0,17,ped,92.9275
0,18,car,110.9028
0,19,ped,118.2092
0,21,car,165.7088
0,21,ped,155.6574
0,22,car,335.9363
0,22,ped,384.0079
0,23,car,52.9463
0,23,ped,200.0315
0,24,ped,147.0705
0,25,car,99.8345
0,25,ped,86.5918
0,27,car,23.8229
0,28,ped,38.1933
0,29,car,10.6984
0,29,ped,17.7269
0,30,ped,45.1597
0,31,car,61.7666
0,31,ped,44.4423
0,32,car,82.8893
0,32,ped,55.8702
0,34,car,143.5144
0,34,ped,36.2821
0,35,car,6.0321
0,36,ped,37.2958
0,37,car,74.7811
0,38,car,157.828
0,38,ped,83.6266
0,39,car,211.6892
0,40,car,157.828
0,40,ped,58.3545
0,41,car,264.634
0,41,ped,46.4743
0,42,car,382.2913
0,42,ped,24.1178
0,43,car,151.1047
0,44,car,178.6918
0,45,ped,37.2514
0,45,transit,5.3456
0,46,car,247.7372
0,46,transit,10.6224
0,47,car,245.4332
0,47,ped,42.9638
0,47,transit,75.6629
0,48,car,403.2366
0,48,transit,97.3951
0,49,car,768.3072
0,49,ped,65.1194
0,49,transit,58.9435
0,50,car,255.5094
0,50,ped,29.4023
0,50,transit,57.6814
0,51,ped,94.3602
0,51,transit,30.9063
0,52,car,76.7869
0,52,transit,34.8723
0,54,car,251.8065
0,54,transit,19.2548
0,55,ped,48.1369
0,55,transit,14.503
0,56,car,136.3748
0,57,car,965.8
0,57,ped,430.8985
0,58,car,678.7674
0,59,car,168.6656
0,60,car,762.8028
0,62,car,567.366
0,63,ped,24.2164
0,64,car,547.563
0,65,car,142.2659
0,65,ped,74.7214
0,66,car,535.5357
0,66,ped,36.6836
0,67,car,354.6252
0,68,car,371.3982
0,68,ped,161.5308
0,69,car,218.1813
0,69,ped,73.924
0,70,car,47.1025
0,70,ped,5.1516
0,71,car,57.3274
0,71,ped,89.0061
0,73,car,207.7999
0,73,transit,20.1944
0,74,car,439.6219
0,74,ped,36.0502
0,74,transit,34.5292
0,75,car,107.8545
0,76,car,264.634
0,76,transit,7.2465
0,77,car,154.9571
0,77,ped,28.3579
0,78,car,151.1047
0,78,ped,28.5104
0,78,transit,54.7881
0,79,car,248.7322
0,79,transit,54.8491
0,80,car,433.0733
0,80,ped,73.7186
0,80,transit,58.2518
0,81,car,433.2037
0,81,ped,111.6926
0,81,transit,26.2693
0,82,car,310.3566
0,83,car,568.0316
0,84,car,682.5355
0,84,ped,35.7171
0,84,transit,35.6425
0,85,car,766.3191
