tick,edge_id,mode,flow
0,1,ped,19.0857
0,2,car,193.2115
0,4,car,170.5127
0,4,ped,26.6775
0,5,car,70.8608
0,6,ped,25.3442
0,7,car,67.5096
0,8,ped,57.7307
0,8,transit,21.3395
0,9,car,118.0803
0,9,transit,25.9549
0,10,car,187.0814
0,10,transit,54.1458
0,11,ped,23.8906
0,11,transit,22.4565
0,12,car,33.174
0,13,car,46.8637
0,13,transit,27.5602
0,14,car,57.7993
0,14,transit,13.3219
0,15,car,66.6947
0,15,ped,22.2305
0,15,transit,18.4256
0,16,car,107.5602
0,17,car,86.5926
0,17,ped,121.6022
0,18,car,7.7751
0,19,car,133.892
0,19,ped,139.7943
0,21,car,288.5941
0,21,ped,177.2425
0,22,car,498.9385
0,22,ped,429.7767
0,23,car,107.3336
0,23,ped,224.2152
0,24,car,52.9463
0,24,ped,184.5557
0,25,car,136.9816
0,25,ped,107.914
0,27,car,23.8229
0,28,ped,38.1933
0,29,car,10.6984
0,29,ped,17.7269
0,30,ped,45.1597
0,31,car,51.6661
0,31,ped,44.4423
0,32,car,210.3687
0,32,ped,16.163
0,34,car,144.8979
0,34,ped,20.8685
0,35,car,6.0321
0,36,ped,24.093
0,37,car,146.1186
0,38,car,121.2022
0,38,ped,83.6266
0,39,car,247.1977
0,40,car,124.2583
0,40,ped,58.3545
0,41,car,158.4521
0,41,ped,46.4743
0,42,car,205.8488
0,42,ped,24.1178
0,44,car,202.3822
0,45,ped,37.2514
0,45,transit,13.5594
0,46,car,293.8512
0,46,transit,22.0995
0,47,car,467.5506
0,47,ped,42.9638
0,47,transit,81.73
0,48,car,186.2917
0,48,transit,100.2861
0,49,car,520.9653
0,49,ped,65.1194
0,49,transit,104.8589
0,50,car,168.9168
0,50,ped,29.4023
0,50,transit,39.3051
0,51,ped,94.3602
0,51,transit,10.969
0,52,car,178.8586
0,54,car,38.6618
0,54,transit,19.2548
0,55,ped,48.1369
0,55,transit,14.503
0,56,car,94.2693
0,57,car,1164.558
0,57,ped,434.2859
0,58,car,941.7545
0,60,car,857.1243
0,62,car,732.0303
0,63,ped,24.2164
0,64,car,704.1873
0,65,car,379.651
0,65,ped,74.7214
0,66,car,706.2876
0,66,ped,36.6836
0,67,car,686.4369
0,68,car,227.8173
0,68,ped,94.7956
0,69,car,290.0017
0,69,ped,58.5104
0,70,car,86.5926
0,70,ped,5.1516
0,71,car,57.3274
0,71,ped,46.142
0,73,car,335.9261
0,73,transit,19.2117
0,74,car,635.2666
0,74,ped,36.0502
0,74,transit,19.9871
0,75,car,130.1451
0,76,car,269.9774
0,76,transit,7.2465
0,77,car,180.1646
0,77,ped,28.3579
0,78,car,76.4547
0,78,ped,28.5104
0,78,transit,69.6858
0,79,car,229.7138
0,79,transit,69.7467
0,80,car,270.5914
0,80,ped,73.7186
0,80,transit,51.3715
0,81,car,727.0716
0,81,ped,111.6926
0,81,transit,12.7434
0,82,car,99.2381
0,83,car,562.5198
0,84,car,436.9299
0,84,ped,35.7171
0,84,transit,81.5579
0,85,car,841.2033
0,85,transit,0.0905
0,86,car,1129.3746
0,86,transit,62.1578
0,87,car,114.1003
0,87,ped,58.1508
0,87,transit,17.8054
0,88,car,1293.9197
0,88,transit,30.1955
0,89,car,1251.6471
0,89,ped,62.3448
0,90,car,1066.3961
0,91,car,891.8211
0,91,ped,473.0427
0,92,car,177.4685
0,92,ped,31.9394
0,93,car,97.7684
0,94,car,192.1944
0,95,ped,71.2382
0,96,car,28.3871
0,97,car,110.7425
0,97,ped,4.4494
0,98,ped,39.584
0,99,car,445.1246
0,99,ped,13.8655
0,100,car,390.5819
0,100,ped,5.1971
0,101,car,211.5759
0,101,ped,18.2192
0,102,car,249.9288
0,102,ped,219.2518
0,103,car,177.9359
0,104,car,236.0519
0,105,car,138.4996
0,105,ped,83.5342
0,106,car,75.0105
0,107,car,13.864
0,107,transit,16.0316
0,108,car,546.4572
0,109,car,192.2784
0,109,ped,43.1618
0,109,transit,47.7555
0,110,car,477.6705
0,110,ped,54.1645
0,110,transit,33.5258
0,111,car,343.4331
0,111,transit,76.1584
0,112,car,53.7389
0,113,car,535.6488
0,114,car,355.0531
0,114,ped,137.8625
0,115,car,787.9217
0,115,ped,121.7552
0,115,transit,8.82
0,116,car,969.404
0,117,car,491.5878
0,117,ped,5.3286
0,118,car,948.5499
0,119,car,1694.0383
0,119,ped,0.2261
0,120,car,287.9006
0,121,car,268.8363
0,121,ped,119.1648
0,122,car,352.3562
0,122,ped,141.8383
0,123,car,451.1679
0,124,ped,525.1461
0,125,car,385.2814
0,125,ped,499.8051
0,126,car,659.5152
0,127,car,427.8802
0,128,car,919.3931
0,128,ped,15.7175
0,129,car,1196.728
0,131,car,854.1844
0,133,car,731.477
0,134,car,732.2807
0,135,car,349.424
0,136,car,105.2411
0,137,car,55.7516
0,138,car,118.7834
0,138,ped,242.2382
0,139,car,338.2001
0,139,ped,415.5251
0,140,car,141.8738
0,140,ped,127.0106
0,141,car,86.5926
0,142,ped,32.834
0,143,car,208.082
0,144,car,820.8089
0,144,ped,32.8547
0,145,car,87.8012
0,145,ped,40.8005
0,146,car,425.7017
0,146,transit,18.1854
0,148,car,82.5239
0,149,car,355.0531
0,149,ped,31.9283
0,150,car,83.4769
0,150,ped,126.2007
0,151,car,1355.6676
0,151,ped,75.2048
0,152,car,1445.6194
0,152,ped,89.8688
0,153,car,175.4341
0,153,ped,38.3074
0,154,car,992.2909
0,154,ped,3.6749
0,155,car,1106.2478
0,156,car,1038.6929
0,157,car,73.0435
0,158,car,1120.8841
0,159,car,887.159
0,159,ped,159.372
0,160,car,61.9107
0,160,ped,654.9032
0,161,car,756.713
0,162,car,752.7955
0,163,car,665.4991
0,164,car,541.1645
0,164,ped,24.0881
0,165,car,277.4183
0,166,car,311.0444
0,167,car,33.6261
0,167,ped,3.9976
0,168,car,205.4346
0,169,car,912.6915
0,169,ped,22.7955
0,170,car,205.4346
0,170,ped,89.6401
0,171,car,76.5871
0,171,ped,96.7094
0,172,car,205.4346
0,173,car,55.7516
0,173,ped,65.9631
0,174,car,88.136
0,175,car,434.5661
0,175,ped,430.4097
0,176,car,86.1522
0,177,car,57.7326
0,178,car,8.2497
0,178,ped,39.0639
0,179,car,852.9906
0,180,car,468.995
0,180,ped,47.8645
0,180,transit,16.404
0,181,car,133.9856
0,182,car,2003.7359
0,183,car,1699.6549
0,183,ped,13.0289
0,184,car,63.6578
0,185,car,397.8628
0,186,car,661.2716
0,187,car,926.7062
0,187,ped,16.4381
0,188,car,1143.1452
0,188,ped,6.8579
0,189,car,552.1302
0,190,car,1997.0289
0,191,car,1267.8228
0,191,ped,16.5335
0,192,car,71.5882
0,192,ped,678.715
0,193,car,825.9266
0,194,ped,683.0509
0,195,car,599.7007
0,195,ped,698.2179
0,197,car,70.1968
0,197,ped,26.9988
0,198,car,200.3608
0,199,car,232.4935
0,200,car,287.3422
0,200,ped,14.6462
0,201,car,734.3458
0,202,car,610.4649
0,202,ped,1046.7984
0,203,car,209.7792
0,203,ped,944.8096
0,204,car,70.4979
0,204,ped,832.9867
0,205,car,664.225
0,205,ped,295.8481
0,206,car,117.8992
0,206,ped,44.9832
0,209,car,123.7715
0,210,car,441.0346
0,211,car,694.5092
0,211,ped,26.0795
0,212,car,599.905
0,212,ped,70.6688
0,213,car,1341.3998
0,213,ped,106.4931
0,214,car,915.2383
0,215,car,543.7675
0,215,ped,71.8334
