run_id,run_label,started_at,sim_name,n_ticks,n_edges,congestion_mean,congestion_max,energy_sum,energy_mean,last_tick
4,city_sim-0004,2025-12-23T03:24:59.378937+00:00,city_sim,4,684,590.0797224151509,606.4920307910864,12520486.418041108,3130121.604510277,3
3,city_sim-0003,2025-12-23T03:24:48.153276+00:00,city_sim,4,684,584.0771855525431,605.5071586784088,12542018.095662296,3135504.523915574,3
2,city_sim-0002,2025-12-23T03:23:04.451110+00:00,city_sim,4,684,590.4000668752374,600.7561750521128,12545908.186177172,3136477.046544293,3
1,city_sim-0001,2025-12-23T03:20:01.060709+00:00,city_sim,4,684,580.3518319668962,596.5427865942335,12555590.777206091,3138897.694301523,3
